date,week,month,year,season,is_holiday,promo_event,promo_flag_calendar
2011-04-08,14,4,2011,Spring,0,,0
2011-04-09,14,4,2011,Spring,0,,0
2011-04-10,14,4,2011,Spring,0,,0
2011-04-11,15,4,2011,Spring,0,,0
2011-04-12,15,4,2011,Spring,0,,0
2011-04-13,15,4,2011,Spring,0,,0
2011-04-14,15,4,2011,Spring,0,,0
2011-04-15,15,4,2011,Spring,0,,0
2011-04-16,15,4,2011,Spring,0,,0
2011-04-17,15,4,2011,Spring,0,,0
2011-04-18,16,4,2011,Spring,0,,0
2011-04-19,16,4,2011,Spring,0,,0
2011-04-20,16,4,2011,Spring,0,,0
2011-04-21,16,4,2011,Spring,0,,0
2011-04-22,16,4,2011,Spring,1,,0
2011-04-23,16,4,2011,Spring,0,,0
2011-04-24,16,4,2011,Spring,0,,0
2011-04-25,17,4,2011,Spring,0,,0
2011-04-26,17,4,2011,Spring,0,,0
2011-04-27,17,4,2011,Spring,0,,0
2011-04-28,17,4,2011,Spring,0,,0
2011-04-29,17,4,2011,Spring,1,,0
2011-04-30,17,4,2011,Spring,0,,0
2011-05-01,17,5,2011,Spring,0,,0
2011-05-02,18,5,2011,Spring,1,,0
2011-05-03,18,5,2011,Spring,0,,0
2011-05-04,18,5,2011,Spring,0,,0
2011-05-05,18,5,2011,Spring,0,,0
2011-05-06,18,5,2011,Spring,0,,0
2011-05-07,18,5,2011,Spring,0,,0
2011-05-08,18,5,2011,Spring,0,,0
2011-05-09,19,5,2011,Spring,0,,0
2011-05-10,19,5,2011,Spring,0,,0
2011-05-11,19,5,2011,Spring,0,,0
2011-05-12,19,5,2011,Spring,0,,0
2011-05-13,19,5,2011,Spring,0,,0
2011-05-14,19,5,2011,Spring,0,,0
2011-05-15,19,5,2011,Spring,0,,0
2011-05-16,20,5,2011,Spring,0,,0
2011-05-17,20,5,2011,Spring,0,,0
2011-05-18,20,5,2011,Spring,0,,0
2011-05-19,20,5,2011,Spring,0,,0
2011-05-20,20,5,2011,Spring,0,,0
2011-05-21,20,5,2011,Spring,0,,0
2011-05-22,20,5,2011,Spring,0,,0
2011-05-23,21,5,2011,Spring,0,,0
2011-05-24,21,5,2011,Spring,0,,0
2011-05-25,21,5,2011,Spring,0,,0
2011-05-26,21,5,2011,Spring,0,,0
2011-05-27,21,5,2011,Spring,0,,0
2011-05-28,21,5,2011,Spring,0,,0
2011-05-29,21,5,2011,Spring,0,,0
2011-05-30,22,5,2011,Spring,1,,0
2011-05-31,22,5,2011,Spring,0,,0
2011-06-01,22,6,2011,Summer,0,,0
2011-06-02,22,6,2011,Summer,0,,0
2011-06-03,22,6,2011,Summer,0,,0
2011-06-04,22,6,2011,Summer,0,,0
2011-06-05,22,6,2011,Summer,0,,0
2011-06-06,23,6,2011,Summer,0,,0
2011-06-07,23,6,2011,Summer,0,,0
2011-06-08,23,6,2011,Summer,0,,0
2011-06-09,23,6,2011,Summer,0,,0
2011-06-10,23,6,2011,Summer,0,,0
2011-06-11,23,6,2011,Summer,0,,0
2011-06-12,23,6,2011,Summer,0,,0
2011-06-13,24,6,2011,Summer,0,,0
2011-06-14,24,6,2011,Summer,0,,0
2011-06-15,24,6,2011,Summer,0,,0
2011-06-16,24,6,2011,Summer,0,,0
2011-06-17,24,6,2011,Summer,0,,0
2011-06-18,24,6,2011,Summer,0,,0
